name;golds;silvers;bronzes
an san;3;0;0
ma long;1;0;0
sebesi lili;0;0;0
li tong;0;0;0
pratt aimee;0;0;0
ju hui;0;0;0
yan ni;0;0;0
charles niamh;0;0;0
khokhar reena;0;0;0
xu anqi;0;0;0
kalulu pierre;0;0;0
jin ye;0;0;0
ludmila;0;0;0
kaynar alican;0;0;0
yan peng;0;0;0
amit;0;0;0
scott jill;0;0;0
flem hoest line;0;0;0
mckeon emma;4;0;3
mckeown kaylee;3;0;1
zhang yufei;2;2;0
titmus ariarne;2;1;1
scott duncan;1;3;0
carrington lisa;3;0;0
thompson-herah elaine;3;0;0
rylov evgeny;2;1;0
batsarashkina vitalina;2;1;0
hashimoto daiki;2;1;0
peaty adam;2;1;0
guy james;2;1;0
lavreysen harrie;2;0;1
hassan sifan;2;0;1
campbell cate;2;0;1
lee sunisa;1;1;1
murphy ryan;1;1;1
melnikova angelina;1;0;2
nagornyy nikita;1;0;2
jackson shericka;1;0;2
de grasse andre;1;0;2
throssell brianna;1;0;2
smith regan;0;2;1
king lilly;0;2;1
masse kylie;0;2;1
xiao ruoteng;0;1;2
chalmers kyle;0;1;2
kolesnichenko svetlana;2;0;0
romashina svetlana;2;0;0
kim je deok;2;0;0
apple zach;2;0;0
finke robert;2;0;0
mu athing;2;0;0
mclaughlin sydney;2;0;0
ohashi yui;2;0;0
jacobs lamont marcell;2;0;0
von bredow-werndl jessica;2;0;0
xie siyi;2;0;0
yang qian;2;0;0
shi tingmao;2;0;0
cheptegei joshua;1;1;0
benjamin rai;1;1;0
jacoby lydia;1;1;0
muhammad dalilah;1;1;0
bencic belinda;1;1;0
schoenmaker tatjana;1;1;0
kaczmarek natalia;1;1;0
gowler kerri;1;1;0
prendergast grace;1;1;0
hoogland jeffrey;1;1;0
van vleuten annemiek;1;1;0
fraser-pryce shelly-ann;1;1;0
csipes tamara;1;1;0
mcewen tom;1;1;0
yee alex;1;1;0
kenny laura;1;1;0
kenny jason;1;1;0
werth isabell;1;1;0
xu xin;1;1;0
liu shiwen;1;1;0
chen yuxi;1;1;0
wang han;1;1;0
yang junxuan;1;1;0
stewart trevor;1;0;1
whitney kaylin;1;0;1
norwood vernon;1;0;1
ellis kendall;1;0;1
irby lynna;1;0;1
valente jennifer;1;0;1
felix allyson;1;0;1
christen nina;1;0;1
daley thomas;1;0;1
wellbrock florian;1;0;1
li bingjie;1;0;1
zou jingyuan;1;0;1
jiang ranxin;1;0;1
yang haoran;1;0;1
pang wei;1;0;1
harris meg;1;0;1
wilson madison;1;0;1
fox jessica;1;0;1
campbell bronte;1;0;1
seebohm emily;1;0;1
osipova elena;0;2;0
paulino marileidy;0;2;0
kamminga arno;0;2;0
liu hao;0;2;0
sun wenyan;0;2;0
huang xuechen;0;2;0
kolesnikov kliment;0;1;1
kamenskiy sergey;0;1;1
perilli alessandra;0;1;1
brown erika;0;1;1
thomas gabrielle;0;1;1
zaferes katie;0;1;1
weitzeil abbey;0;1;1
biles simone;0;1;1
schmitt allison;0;1;1
luzan liudmyla;0;1;1
pulawska anna;0;1;1
naja karolina;0;1;1
kaya kazuma;0;1;1
ceccon thomas;0;1;1
miressi alessandro;0;1;1
paltrinieri gregorio;0;1;1
carlin jack;0;1;1
sanchez kayla;0;1;1
vincent-lapointe laurence;0;1;1
ruck taylor;0;1;1
hoy andrew;0;1;1
karimova yulia;0;0;2
flickinger hali;0;0;2
savchuk anastasiya;0;0;2
furukawa takaharu;0;0;2
burdisso federico;0;0;2
dujardin charlotte;0;0;2
sidakov zaurbek;1;0;0
uguev zavur;1;0;0
evloev musa;1;0;0
goliadkina maryna;1;0;0
batyrgaziev albert;1;0;0
larin vladislav;1;0;0
khramtcov maksim;1;0;0
pozdniakova sofia;1;0;0
akhaimova liliia;1;0;0
urazova vladislava;1;0;0
listunova viktoriia;1;0;0
dalaloyan artur;1;0;0
