name;golds;silvers;bronzes
aline;0;0;0
asako o;0;0;0
chad ho;0;0;0
dan li;0;0;1
darlene;0;0;0
donghyen shin;0;0;0
egor kliuka;0;0;0
epp mae;0;0;0
jin ma;0;0;0
kim amb;0;0;0
marcin pochwala;0;0;0
monica;0;0;0
song yu;0;0;1
su oh;0;0;0
thaisa;0;0;0
yu asai;0;0;0
a jesus garcia;0;0;0
a lam shin;0;0;0
aaron brown;0;0;1
aaron cook;0;0;0
aaron gate;0;0;0
aaron royle;0;0;0
aaron russell;0;0;1
aaron younger;0;0;0
aauri lorena bokesa;0;0;0
ababel yeshaneh;0;0;0
abadi hadis;0;0;0
abbas abubakar abbas;0;0;0
abbas qali;0;0;0
abbey d agostino;0;0;0
abbey weitzeil;1;1;0
abbie brown;0;0;0
abbos rakhmonov;0;0;0
abbubaker mobara;0;0;0
abby erceg;0;0;0
abd elhalim mohamed abou;0;0;0
abdalaati iguider;0;0;0
abdalelah haroun;0;0;0
abdalla targan;0;0;0
abdel aziz mehelba;0;0;0
abdelati el guesse;0;0;0
abdelaziz merzougui;0;0;0
abdelaziz mohamed ahmed;0;0;0
abdelghani demmou;0;0;0
abdelhafid benchabla;0;0;0
abdelhakim amokrane;0;0;0
abdelkader chadi;0;0;0
abdelkadir salhi;0;0;0
abdelkebir ouaddar;0;0;0
abdelkhalek elbanna;0;0;0
abdellatif mohamed ahmed mohamed;0;0;0
abdelmajid el hissouf;0;0;0
abdelmalik lahoulou;0;0;0
abdelrahman salah orabi abdelgawwad;0;0;0
abdelraouf benguit;0;0;0
abderrahmane benamadi;0;0;0
abderrahmane mansouri;0;0;0
abderrahmane meziane;0;0;0
abdi hakin ulad;0;0;0
abdi nageeye;0;0;0
abdi waiss mouhyadin;0;0;0
abdoul khadre mbaye niane;0;0;0
abdoulkarim fawziya;0;0;0
abdoullah bamoussa;0;0;0
abdoulrazak issoufou alfaga;0;1;0
abdul khalili;0;0;0
abdul omar;0;0;0
abdul wahab zahiri;0;0;0
abdulaziz alshatti;0;0;0
abdulkadir abdullayev;0;0;0
abdullah abkar mohammed;0;0;0
abdullah alrashidi;0;0;1
abdullah hel baki;0;0;0
abdullahi shehu;0;0;1
abdullo tangriev;0;0;0
abdulrahman al faihan;0;0;0
abdulrashid sadulaev;1;0;0
abdulrazzaq murad;0;0;0
abeku gyekye jackson;0;0;0
abhinav bindra;0;0;0
abigail johnston;0;0;0
abigel joo;0;0;0
ablaikhan zhussupov;0;0;0
abraham kipchirchir rotich;0;0;0
abraham naibei cheroben;0;0;0
abraham niyonkuru;0;0;0
abrar osman;0;0;0
abubaker haydar abdalla;0;0;0
achraf kharroubi;0;0;0
adam batirov;0;0;0
adam cwalina;0;0;0
adam decker;0;0;0
adam dixon;0;0;0
adam froese;0;0;0
adam gemili;0;0;0
adam imer;0;0;0
adam kszczot;0;0;0
adam lundqvist;0;0;0
adam marosi;0;0;0
adam okruashvili;0;0;0
adam pattantyus;0;0;0
adam peaty;1;1;0
adam sebastian helcelet;0;0;0
adam telegdy;0;0;0
adam vella;0;0;0
adam viktora;0;0;0
adam wisniewski;0;0;0
adam yates;0;0;0
adam van koeverden;0;0;0
adama diatta;0;0;0
adama jammeh;0;0;0
adas juskevicius;0;0;0
adel gholami;0;0;0
adel mechaal;0;0;0
adel mojallalimoghadam;0;0;0
adela bruns;0;0;0
adela hanzlickova;0;0;0
adelina bogus;0;0;1
adelina pastor;0;0;0
adelinde cornelissen;0;0;0
adeline maria gray;0;0;0
adem boudjemline;0;0;0
adenizia da silva;0;0;0
adham ahmed saleh kahk;0;0;0
adilbek niyazymbetov;0;1;0
adilson da silva;0;0;0
aditi ashok;0;0;0
adlan abdurashidov;0;0;0
adnan maric;0;0;0
adrian andres puentes perez;0;0;0
adrian baches;0;0;0
adrian blocki;0;0;0
adrian chacon;0;0;0
adrian crisan;0;0;0
adrian dziolko;0;0;0
adrian eduardo goide arredondo;0;0;0
adrian edward zielinski;0;0;0
adrian gavira collado;0;0;0
adrian gomboc;0;0;0
adrian griffith;0;0;0
adrian ignacio carambula raurich;0;0;0
adrian juhasz;0;0;0
adrian oquendo;0;0;0
adrian portela;0;0;0
adriana aparecida da silva;0;0;0
adriana araujo;0;0;0
adriana diaz;0;0;0
adriana martin;0;0;0
adriana moises;0;0;0
adrien bart;0;0;0
adrien dipanda;0;1;0
adrien niyonshuti;0;0;0
adrienne martelli;0;0;0
adzo rebecca kpossi;0;0;0
ae-ri noort;0;0;0
afa ismail;0;0;0
afaf elhodhod;0;0;0
afef ben ismail;0;0;0
africa zamorano sanz;0;0;0
afrodite zegers;0;0;0
agata forkasiewicz;0;0;0
agatha bednarczuk;0;1;0
ageze guadie;0;0;0
aglaia pezzato;0;0;0
agnes osazuwa;0;0;0
agnes raharolahy;0;0;0
agnese pastare;0;0;0
agnete kirk thinggaard;0;0;0
agnieszka dygacz;0;0;0
agnieszka jadwiga wieszczek-kordus;0;0;0
agnieszka jerzyk;0;0;0
agnieszka kobus;0;0;1
agnieszka nagay;0;0;0
agnieszka radwanska;0;0;0
agnieszka skrzypulec;0;0;0
agnieszka szwarnog;0;0;0
agustin mazzilli;1;0;0
agustin vidal;0;0;0
agustina albertarrio;0;0;0
agustina habif;0;0;0
ahmad abughaush;1;0;0
ahmad alafasi;0;0;0
ahmad amsyar azman;0;0;0
ahmad hazer;0;0;0
ahmed abdelaal;0;0;0
ahmed abdelhay;0;0;0
ahmed abelrahman;0;0;0
ahmed afifi;0;0;0
ahmed akram;0;0;0
ahmed ali;0;0;0
ahmed attellesey;0;0;0
ahmed bader magour;0;0;0
ahmed darwish;0;0;0
ahmed el kotb;0;0;0
ahmed el-nemr;0;0;0
ahmed elahmar;0;0;0
ahmed gebrel;0;0;0
ahmed goumar;0;0;0
ahmed ibrahim;0;0;0
ahmed kamar;0;0;0
ahmed mathlouthi;0;0;0
ahmed mohamed;0;0;0
ahmed mohamed ibrahim saad;0;0;0
ahmed ragab;0;0;0
ahmed saad;0;0;0
ahmed shaban;0;0;0
ahmet li;0;0;0
ahmet orken;0;0;0
ahreum na;0;0;0
ahymara espinoza;0;0;0
ai fukuhara;0;0;1
ai kondo yoshida;0;0;0
ai ueda;0;0;0
ai wen yu;0;0;0
aiaal lazarev;0;0;0
aichen wang;0;0;0
aida fall;0;0;0
aida mohamed;0;0;0
aida roman;0;0;0
aida shanaeva;0;0;0
aidan roach;0;0;0
aika hakoyama;0;0;1
aikaterini nikolaidou;0;0;0
aikaterini-maria kontochristopoulou;0;0;0
aiko hayashi;0;0;1
aiko sugihara;0;0;0
aileen reid;0;0;0
ailen valente;0;0;0
ailly luciano;0;0;0
ailun guo;0;0;0
aimee fisher;0;0;0
aimee willmott;0;0;0
aina cid i centelles;0;0;0
ainhoa hernandez;0;0;0
ainhoa murua;0;0;0
ainur yesbergenova;0;0;0
airi hatakeyama;0;0;0
airine palsyte;0;0;0
aisen chen;2;0;0
aisha praught;0;0;0
aislin jones;0;0;0
aisuluu tynybekova;0;0;0
aitor martinez rodriguez;0;0;0
aivi luik;0;0;0
ajee wilson;0;0;0
ajla del ponte;0;0;0
ajna kesely;0;0;0
akalani baravilala;0;0;0
akane kuroki;0;0;0
akane shibata;0;0;0
akane yamaguchi;0;0;0
akani simbine;0;0;0
akashdeep singh;0;0;0
akeem haynes;0;0;1
akela jones;0;0;0
aki mitsuhashi;0;0;0
aki yazawa;0;0;0
akihiko nakamura;0;0;0
akiko sato;0;0;0
akira ioane;0;0;0
akira yanase;0;0;0
akossiwa claire ayivon;0;0;0
akua obeng-akrofi;0;0;0
alaa ali;0;0;0
alaaeldin abouelkassem;0;0;0
alade aminu;0;0;0
alain sign;0;0;0
alan campbell;0;0;0
alan hatherly;0;0;0
alan sinclair;0;0;0
alan sothern;0;0;0
alana barber;0;0;0
alana boyd;0;0;0
alanna kennedy;0;0;0
alastair brogdon;0;0;0
alba torrens;0;1;0
albachir mouctar;0;0;0
albane valenzuela;0;0;0
albert espanol lifante;0;0;0
albert gaun;0;0;0
albert hermoso farras;0;0;0
albert kibichii rop;0;0;0
albert puig garrich;0;0;0
albert ramon ramirez;0;0;0
albert ramos-vinolas;0;0;0
albert saritov;0;0;1
albert selimov;0;0;0
albert subirats;0;0;0
alberth bravo;0;0;0
alberth elis;0;0;0
albertina cruz kassoma;0;0;0
alberto alvarez;0;0;0
alberto ezequiel melian;0;0;0
alberto fernandez;0;0;0
alberto ignacio palmetta;0;0;0
alberto munarriz egana;0;0;0
alberto ricchetti;0;0;0
albin lagergren;0;0;0
albina shakirova;0;0;0
aldemir da silva junior;0;0;0
aldo montano;0;0;0
alec potts;0;0;1
aleixo-platini menga;0;0;0
alejandra betancur;0;0;0
alejandra garza garza;0;0;0
alejandra jhonay benitez romero;0;0;0
alejandra llaneza;0;0;0
alejandra orozco;0;0;0
alejandra ortega;0;0;0
alejandra quereda;0;1;0
alejandra teran;0;0;0
alejandra valencia;0;0;0
alejandra zavala vazquez;0;0;0
alejandro enrique valdes tobier;0;0;0
alejandro foglia costa;0;0;0
alejandro valverde belmonte;0;0;0
aleksandar aleksandrov;0;0;0
aleksandar ivovic;0;0;0
aleksandar karakasevic;0;0;0
aleksandar kukolj;0;0;0
aleksandar nikolov;0;0;0
aleksandar radovic;0;0;0
aleksandr krasnykh;0;0;0
aleksandr lipatov;0;0;0
aleksandr markov;0;0;0
aleksandr popkov;0;0;0
aleksandr sadovnikov;0;0;0
aleksandra cotti;0;1;0
aleksandra crvendakic;0;0;1
aleksandra jarmolinska;0;0;0
aleksandra krunic;0;0;0
aleksandra patskevich;1;0;0
aleksandra romanova;0;0;0
aleksandra socha;0;0;0
aleksandra urbanczyk;0;0;0
aleksandrs samoilovs;0;0;0
aleksei brianskii;0;0;0
aleksei kurbatov;0;0;0
aleksejs rumjancevs;0;0;0
aleksejs saramotins;0;0;0
aleksey mochalov;0;0;0
aleksi ojala;0;0;0
alemu bekele;0;0;0
alen zasieiev;0;0;0
alena abramchuk;0;0;0
alena amialiusik;0;0;0
alena furman;0;0;0
alena sharp;0;0;0
alena sobaleva;0;0;0
alesha widdall;0;0;0
alessandra aguilar;0;0;0
alessandra patelli;0;0;0
alessandra perilli;0;0;0
alessandro de marchi;0;0;0
alessandro fabian;0;0;0
alessandro nora;0;0;1
alessandro velotto;0;0;1
alessia gennari;0;0;0
alessia maurelli;0;0;0
alessia orro;0;0;0
alessia polieri;0;0;0
alessia trost;0;0;0
aletta jorritsma;0;0;0
alev kelter;0;0;0
alex abrines;0;0;1
alex amankwah;0;0;0
alex beddoes;0;0;0
alex bowen;0;0;0
alex casasayas;0;0;0
alex cejka;0;0;0
alex garcia;0;0;0
alex garcia mendoza;0;0;0
alex gregory;1;0;0
alex hua tian;0;0;0
alex kennedy;0;0;0
alex maloney;0;1;0
alex morgan;0;0;0
alex obert;0;0;0
alex ranghieri;0;0;0
alex roelse;0;0;0
alex rose;0;0;0
alex sobers;0;0;0
alex william pombo silva;0;0;0
alex wright;0;0;0
alex di giorgio;0;0;0
alexa moreno;0;0;0
alexander belonogoff;0;1;0
alexander brouwer;0;0;1
alexander bryukhankov;0;0;0
alexander bury;0;0;0
alexander choupenitch;0;0;0
alexander edmondson;0;1;0
alexander fransson;0;0;0
alexander gehbauer;0;0;0
alexander hartmann;0;0;0
alexander hendrickx;0;0;0
alexander hill;0;1;0
alexander horst;0;0;0
alexander huber;0;0;0
alexander john;0;0;0
alexander karwoski;0;0;0
alexander kosenkow;0;0;0
alexander leksell;0;0;0
alexander lerionka sampao;0;0;0
alexander lesun;1;0;0
alexander lloyd;0;0;0
alexander massialas;0;1;1
alexander milosevic;0;0;0
alexander molerio quintana;0;0;0
alexander naddour;0;0;1
alexander peya;0;0;0
alexander russo;0;0;0
alexander schmirl;0;0;0
alexander shatilov;0;0;0
alexander shibaev;0;0;0
alexander sigurbjornsson;0;0;0
alexander sukhorukov;0;0;0
alexander volkov;0;0;0
alexandr spac;0;0;0
alexandr yemelyanov;0;0;0
alexandr zaichikov;0;0;1
alexandra burghardt;0;0;0
alexandra danson;1;0;0
alexandra hagan;0;0;0
alexandra keresztesi;0;0;0
alexandra lacrabere;0;1;0
alexandra longova;0;0;0
alexandra martinez;0;0;0
alexandra mirca;0;0;0
alexandra nemich;0;0;0
alexandra oquendo;0;0;0
alexandra popp;1;0;0
alexandra privalova;0;0;0
alexandra raisman;1;2;0
alexandra razarenova;0;0;0
alexandra tavernier;0;0;0
alexandra touretski;0;0;0
alexandra wenk;0;0;0
alexandra wester;0;0;0
alexandre ayache;0;0;0
alexandre bouzaid;0;0;0
alexandre camarasa;0;0;0
alexandre camargo;0;0;0
alexandre haldemann;0;0;0
alexandre iddir;0;0;0
alexandre de paeuw;0;0;0
alexandres gounas;0;0;0
alexandrina cabral;0;0;0
alexandro pozzer;0;0;0
alexandros papamichail;0;0;0
alexei klimov;0;0;0
alexei sancov;0;0;0
alexej prochorow;0;0;0
alexey alipov;0;0;0
alexey cheremisinov;1;0;0
alexey denisenko;0;1;0
alexey dergunov;0;0;0
alexey verbov;0;0;0
alexey yakimenko;0;0;0
alexi pappas;0;0;0
alexis gonzalez;0;0;0
alexis raynaud;0;0;1
alexis santos;0;0;0
alexis soto;0;0;0
alexis vuillermoz;0;0;0
alexus laird;0;0;0
alfonso antonio leyva yepez;0;0;0
alfonso benavides lopez de ayala;0;0;0
alfred kipketer;0;0;0
alfredo campo;0;0;0
alfredo talavera;0;0;0
alhussein gambour;0;0;0
ali adnan;0;0;0
ali elghrari;0;0;0
ali eren demirezen;0;0;0
ali faez;0;0;0
ali hashemi;0;0;0
ali hisny;0;0;0
ali kaya;0;0;0
ali khalafalla;0;0;0
ali khamis khamis;0;0;0
ali krieger;0;0;0
ali messaoudi;0;0;0
ali nouisri;0;0;0
ali pakdaman;0;0;0
ali riley;0;0;0
ali suljic;0;0;0
ali yousef al rumaihi;0;0;0
ali zein mohamed;0;0;0
alia atkinson;0;0;0
alia saeed mohammed;0;0;0
aliaksandr bersanau;0;0;0
aliaksandr buikevich;0;0;0
aliaksandr liakhovich;0;0;0
aliaksandra herasimenia;0;0;1
aliaksandra tarasava;0;0;0
aliaksei mzhachyk;0;0;0
alican kaynar;0;0;0
alice aprot nawowuna;0;0;0
alice ingley;0;0;0
alice mizzau;0;0;0
alice naber-lozeman;0;0;0
alice richardson;0;0;0
alice schlesinger;0;0;0
alice sinno;0;0;0
alice sotero;0;0;0
alicia blagg;0;0;0
alicia brown;0;0;0
alicia cebrian martinez de lagos;0;0;0
alicia coutts;0;0;0
alicia magaz;0;0;0
alicia quirk;1;0;0
alicja tchorz;0;0;0
alin alexuc ciurariu;0;0;0
alin coste;0;0;0
alin george moldoveanu;0;0;0
alina armas;0;0;0
alina fodorova;0;0;0
alina komashchuk;0;1;0
alina logvynenko;0;0;0
alina rotaru;0;0;0
alina stadnik makhynia;0;0;0
alina talay;0;0;0
aline focken;0;0;0
aline da silva ferreira;0;0;0
